Year,Hosts,Venues/Cities,Totalattendance †,Matches,Averageattendance,highest attendence of Number,highest attendence of Venue,highest attendence of Game(s)
1930, Uruguay,3/1,"590,549",18,"32,808","93,000","Estadio Centenario, Montevideo","Uruguay 6–1 Yugoslavia, Semi-final"
1934, Italy,8/8,"363,000",17,"21,353","55,000","Stadio Nazionale PNF, Rome","Italy 2–1 Czechoslovakia, Final"
1938, France,10/9,"375,700",18,"20,872","58,455","Olympique de Colombes, Paris","France 1–3 Italy, Quarter-final"
1950, Brazil,6/6,"1,045,246",22,"47,511","173,850[86]","Maracanã Stadium, Rio de Janeiro","Brazil 1–2 Uruguay, Deciding match"
1954, Switzerland,6/6,"768,607",26,"29,562","63,000","Wankdorf Stadium, Bern","West Germany 3–2 Hungary, Final"
1958, Sweden,12/12,"819,810",35,"23,423","50,928","Ullevi Stadium, Gothenburg","Brazil 2–0 Soviet Union, Group stage"
1962, Chile,4/4,"893,172",32,"27,912","68,679","Estadio Nacional, Santiago","Brazil 4–2 Chile, Semi-final"
1966, England,8/7,"1,563,135",32,"48,848","98,270","Wembley Stadium, London","England 4–2 West Germany, Final"
1970, Mexico,5/5,"1,603,975",32,"50,124","108,192","Estadio Azteca, Mexico City","Mexico 1–0 Belgium, Group stage"
1974, West Germany,9/9,"1,865,753",38,"49,099","83,168","Olympiastadion, Munich","West Germany 1–0 Chile, Group stage"
1978, Argentina,6/5,"1,545,791",38,"40,679","71,712","Estadio Monumental, Buenos Aires","Italy 1–0 Argentina, Group stage"
1982, Spain,17/14,"2,109,723",52,"40,572","95,500","Camp Nou, Barcelona","Argentina 0–1 Belgium, Opening match"
1986, Mexico,12/11,"2,394,031",52,"46,039","114,600","Estadio Azteca, Mexico City","Mexico 1–1 Paraguay, Group stageArgentina 3–2 West Germany, Final"
1990, Italy,12/12,"2,516,215",52,"48,389","74,765","San Siro, Milan","West Germany 4–1 Yugoslavia, Group stage"
1994, United States,9/9,"3,587,538",52,"68,991","94,194","Rose Bowl, Pasadena, California","Brazil 0–0 (3–2p) Italy, Final"
1998, France,10/10,"2,785,100",64,"43,517","80,000","Stade de France, Saint-Denis","Brazil 0–3 France, Final"
2002, South Korea Japan,20/20,"2,705,197",64,"42,269","69,029","International Stadium, Yokohama, Japan","Brazil 2–0 Germany, Final"
2006, Germany,12/12,"3,359,439",64,"52,491","72,000","Olympiastadion, Berlin","Germany 1–1 (4–2p) Argentina, Quarter-final"
2010, South Africa,10/9,"3,178,856",64,"49,670","84,490","Soccer City, Johannesburg","Spain 1–0 Netherlands, Final"
2014, Brazil,12/12,"3,429,873",64,"53,592","74,738","Maracanã Stadium, Rio de Janeiro","Germany 1–0 Argentina, Final"
2018, Russia,12/11,"3,031,768",64,"47,371","78,011","Luzhniki Stadium, Moscow","France 4–2 Croatia, Final"
